Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Metallica Full Band Signed Autograph Album Vinyl Record Kill Em All w/ JSA COA;МЕТАЛЛИКА · вся группа;Metallica Full Band Signed Autograph Album Vinyl Record Kill Em All w/ JSA COA. Международная сертификация подлинности: JSA — полное письмо.;1600000;RUB;JSA — полное письмо;МЕТАЛЛИКА · вся группа;;https://i.ebayimg.com/images/g/HN0AAOSwCTtkeKnP/s-l1600.jpg;7999.95;https://www.ebay.com/itm/314624142874?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xAs1xSObLVnhtCve%2BrDLctZ0EHAm1NWj%2Fmp8Je1TSXG06%2BXwXZmkCskrD3K7AVwdgSc2X3phbjDqNVNV76p50nyVoQhQb9G8a%2Bk4gwuaQdN1tb4ptBGNwf%2BXkdpHgfZqdBtmQDVpERhZuIR3BTVD1E480BLtNkYXzvdbxsXuwL%2F0VwOHbqzXBgiuXO%2F1cnGu0A%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Metallica Robert Trujillo Signed 8X10 Photo JSA COA;МЕТАЛЛИКА · участники;Metallica Robert Trujillo Signed 8X10 Photo JSA COA. Международная сертификация подлинности: JSA.;190000;RUB;JSA;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/uHwAAeSwz0Zn-IEv/s-l1600.jpg;89;https://www.ebay.com/itm/116556126490;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Lars Ulrich Signed Autographed CD “Metallica” PSA/DNA Authenticated;МЕТАЛЛИКА · участники;Lars Ulrich Signed Autographed CD “Metallica” PSA/DNA Authenticated. Международная сертификация подлинности: PSA/DNA.;220000;RUB;PSA/DNA;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/OoYAAeSwKzZqT9bD/s-l1600.jpg;149.99;https://www.ebay.com/itm/197980623701?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xCHnhGasWWUbTsx5shKp95OoLQXHz%2F4oLu%2Bef1fKo8Irc6yGX7Aq3Z%2FU6gnQ5vnEeVRxlEZCuECa1abNXKCaTCJRYJN2f2AMozZVmW5%2BAkrzRYtZCnsWuvVwtjmYZPG35O3TvseBEDRbjrZ7a%2FJeMupXnGigIyJBiPUauIB9R%2FZEYJZ5BURMrTcelfC1y86JSY%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
METALLICA ROBERT TRUJILLO SIGNED HARDWIRED...TO SELF-DESTRUCT ALBUM BECKETT COA;МЕТАЛЛИКА · участники;METALLICA ROBERT TRUJILLO SIGNED HARDWIRED...TO SELF-DESTRUCT ALBUM BECKETT COA. Международная сертификация подлинности: Beckett.;250000;RUB;Beckett;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/4U0AAeSwRGJoZX43/s-l1600.jpg;212.49;https://www.ebay.com/itm/187383120615?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xCpzmlOHKdxRsAdQBkd%2FJ%2Fn1vz7rUspxYpFLzVME6yWIO5ooYFQigJ2IbR3HMvZF4AcjG6ckGSmXSwYzViNQ0kqNIyD9SOFHaMsXftyZLbmRh4x2f%2FVHfVTCk4X%2FEPXNKKtX2t47rgZGg2h8a2BtwOlqR8p6XcpL%2Bs6A9cfKDWSPV%2BGqv2BIPCmqzHXl06dHhE%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Robert Trujillo Signed Auto Metallica Master of Puppets Vinyl BAS COA BH16373;МЕТАЛЛИКА · участники;Robert Trujillo Signed Auto Metallica Master of Puppets Vinyl BAS COA BH16373. Международная сертификация подлинности: Beckett/BAS.;260000;RUB;Beckett/BAS;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/WigAAOSwScRmE3cF/s-l1600.jpg;214.99;https://www.ebay.com/itm/326081986318;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Lars Ulrich Metallica Signed Autograph Vinyl Master Of Puppets PSA/DNA Authentic;МЕТАЛЛИКА · участники;Lars Ulrich Metallica Signed Autograph Vinyl Master Of Puppets PSA/DNA Authentic. Международная сертификация подлинности: PSA/DNA.;260000;RUB;PSA/DNA;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/-SQAAeSwP8lpTJU4/s-l1600.jpg;224.99;https://www.ebay.com/itm/168030201625?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xBTCPk0FPMI0mD0eHrx3sc310UA7pRyF2sIezJguI88Y4c2Be5MWpWvbk9KFpeUL69Mkhnky73VHh81cL%2FreSLwwoiwWk2I%2FlqYuRiYFqawabD5KYE9dh9J2PyydlI7LIeXr0y8oldEzoBQr8WLQdr%2BdSITF%2BZGkFAdZcKWtQvnR%2BzdcvIaVArI3Lu2X22Vliw%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Kirk Hammett Signed Autographed CD Cover “Master Of Puppets” Metallica PSA/DNA;МЕТАЛЛИКА · участники;Kirk Hammett Signed Autographed CD Cover “Master Of Puppets” Metallica PSA/DNA. Международная сертификация подлинности: PSA/DNA.;300000;RUB;PSA/DNA;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/xUEAAeSw9HxqT8oq/s-l1600.jpg;249.99;https://www.ebay.com/itm/197760100765?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xBtOZV3vnHp%2FJFVeTFh5TXIVLC%2B2dvuajrpRFj2y0N3cpQKPvNINAf52FcwbN5iU5LeGpdVMycDPsdpEoCCR7Up4%2BClHot--eP48S6%2BjmmZFr66fUN7T2HS%2BfjndmeTc3UZy8YznO3obZ%2FpmCNGIhBpflL1xn9w5neSKifyV7j4Lb4VZWbtPCDRNXbGpdYJPxA%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
PSA Metallica Band Bassist  * ROBERT TRUJILLO * Signed Electric Pickguard COA;МЕТАЛЛИКА · участники;PSA Metallica Band Bassist  * ROBERT TRUJILLO * Signed Electric Pickguard COA. Международная сертификация подлинности: PSA.;320000;RUB;PSA;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/NhcAAeSwZl5qVkzQ/s-l1600.jpg;275;https://www.ebay.com/itm/178310356624;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
"James Hetfield SIGNED ""Messengers"" Book The Guitars of METALLICA - COA from PSA";МЕТАЛЛИКА · участники;"James Hetfield SIGNED ""Messengers"" Book The Guitars of METALLICA - COA from PSA. Международная сертификация подлинности: PSA.";350000;RUB;PSA;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/s6wAAeSw2bRqPJMy/s-l1600.jpg;299.99;https://www.ebay.com/itm/147426009471?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xDVpbtCWjntGgtGYQYZl5t4jk7JsJWaL0YAjXBvCW5uo8aygkzdabqJV6q0yIYHYJ7bavDJs%2BAL5GelelptMye95LVBFOUrZb7GzQXViGi03mNvmwrb1jgqp1GaiB1fOx2qZwIY3NOnxiWgDM4zkbuVd7xqhZKvUeGi9y6D7xqk8%2BMrQ76IcDIGFE3V1VgyhXw%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
James Hetfield Metallica Logo SIGNED Autograph Cut Signature PSA DNA COA Auto;МЕТАЛЛИКА · участники;James Hetfield Metallica Logo SIGNED Autograph Cut Signature PSA DNA COA Auto. Международная сертификация подлинности: PSA/DNA.;300000;RUB;PSA/DNA;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/UmIAAeSwz6BpufV5/s-l1600.jpg;399.99;https://www.ebay.com/itm/358344305576?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xA9417rdQ5IvdKJ9cpWrtubJ1YkV2L4sMjo46Y6G0jRsS73BXDWDY62Tt8vxonr53n5lDk1j9a%2B4DeGqn8LoXpzrFx7TPF2D%2F0eSBs1FNW7aP3Vq1nOyb0Bqnj7a9ICCKCPyr8TIYmhT9cpSYtDqmW9vxbHi5amWso3cdDzk514UaCCTj9DJtttV4H%2F0vviXsM%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Jason Newsted Metallica signed stratocaster guitar pickguard Beckett BAS COA;МЕТАЛЛИКА · участники;Jason Newsted Metallica signed stratocaster guitar pickguard Beckett BAS COA. Международная сертификация подлинности: Beckett/BAS.;280000;RUB;Beckett/BAS;МЕТАЛЛИКА · участники;;https://i.ebayimg.com/images/g/IasAAOSwuDNlJbgj/s-l1600.jpg;419.99;https://www.ebay.com/itm/158043985869;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Dave Gahan & The Soulsavers Hand Signed CD Certified By PSA DNA Depeche Mode New;DEPECHE MODE;Dave Gahan & The Soulsavers Hand Signed CD Certified By PSA DNA Depeche Mode New. Международная сертификация подлинности: PSA/DNA.;300000;RUB;PSA/DNA;DEPECHE MODE;;https://i.ebayimg.com/images/g/3fgAAeSwcTlp2ap5/s-l1600.jpg;199.99;https://www.ebay.com/itm/373733709062;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
"Martin Gore Signed Autographed CD ""Violator"" Depeche Mode PSA/DNA Authenticated";DEPECHE MODE;"Martin Gore Signed Autographed CD ""Violator"" Depeche Mode PSA/DNA Authenticated. Международная сертификация подлинности: PSA/DNA.";300000;RUB;PSA/DNA;DEPECHE MODE;;https://i.ebayimg.com/images/g/bssAAeSw6XlqT8Av/s-l1600.jpg;249.99;https://www.ebay.com/itm/197571040065?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xDNOEHh9LIjPcg00RlzQswtNfwgUI5yPpxBtiG1xdLOFMuhRa2Nf6n6p%2BluCNJwckAepWJbsXSU9RmEvE7KSb2Ynai7NtUgpDJeMh3qhTXZLGL7vqUSOIR4O4PsisEIaBot4Et7RBsR0w0Wu2zCUgWdtfH4JKf%2F%2BUFh8kom3ngcoWgzucginPHgmykkYpejq8Y%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Dave Gahan (Depeche Mode) signed 8x10 photo JSA;DEPECHE MODE;Dave Gahan (Depeche Mode) signed 8x10 photo JSA. Международная сертификация подлинности: JSA.;320000;RUB;JSA;DEPECHE MODE;;https://i.ebayimg.com/images/g/B8wAAeSwKFtptLyy/s-l1600.jpg;325;https://www.ebay.com/itm/206136077657;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Martin Gore Signed LP Vinyl Depeche Mode Memento Mori PSA/DNA COA;DEPECHE MODE;Martin Gore Signed LP Vinyl Depeche Mode Memento Mori PSA/DNA COA. Международная сертификация подлинности: PSA/DNA.;350000;RUB;PSA/DNA;DEPECHE MODE;;https://i.ebayimg.com/images/g/bHkAAOSwRaplSpnH/s-l1600.jpg;499.95;https://www.ebay.com/itm/196069791364;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Dave Gahan Rare Signed Autographed 11x14 Photo Depeche Mode PSA DNA Certified;DEPECHE MODE;Dave Gahan Rare Signed Autographed 11x14 Photo Depeche Mode PSA DNA Certified. Международная сертификация подлинности: PSA/DNA.;360000;RUB;PSA/DNA;DEPECHE MODE;;https://i.ebayimg.com/images/g/l-gAAeSw~UZnrx67/s-l1600.jpg;499.99;https://www.ebay.com/itm/375995405866;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
MARTIN GORE DEPECHE MODE SIGNED AUTOGRAPH PERSONAL JESUS LYRIC BECKETT BJ081721;DEPECHE MODE;MARTIN GORE DEPECHE MODE SIGNED AUTOGRAPH PERSONAL JESUS LYRIC BECKETT BJ081721. Международная сертификация подлинности: Beckett.;380000;RUB;Beckett;DEPECHE MODE;;https://i.ebayimg.com/images/g/s0oAAeSwTWVoU7A7/s-l1600.jpg;499.99;https://www.ebay.com/itm/267745265622;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
MARTIN GORE DEPECHE MODE SIGNED 'SPEAK & SPELL' ALBUM VINYL RECORD BECKETT COA;DEPECHE MODE;MARTIN GORE DEPECHE MODE SIGNED 'SPEAK & SPELL' ALBUM VINYL RECORD BECKETT COA. Международная сертификация подлинности: Beckett.;400000;RUB;Beckett;DEPECHE MODE;;https://i.ebayimg.com/images/g/vzIAAOSw~pll2CGL/s-l1600.jpg;509.99;https://www.ebay.com/itm/176253227925?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xC1eA4IIdDKidh7lUHZD8PicHgCNBtcfMcZGx3g33sn5plVbicW36529ekSyron9OwbWjI1c0VQrlXH8eFja0pxSbDSpsCfhqiPF40NbFWBpQCHIsZ3CRl3%2BrCOvUx3qWlcv7kAyf1wv1LsR1CNErEC3IrIYTlkbWByZ0n0FZCzvdIIT8MNu%2F%2Bk%2BV9fWgImGz0%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Depeche Mode Dave Gahan signed Vinyl Record Album JSA COA Rare Music Auto Z2559;DEPECHE MODE;Depeche Mode Dave Gahan signed Vinyl Record Album JSA COA Rare Music Auto Z2559. Международная сертификация подлинности: JSA.;400000;RUB;JSA;DEPECHE MODE;;https://i.ebayimg.com/images/g/k5wAAeSw9Npp83eQ/s-l1600.jpg;599;https://www.ebay.com/itm/198321197752?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xAA%2BPAis%2FtgpUVYdd2a3R0fwP0BG4ZJZ0NYnWTmID6ERzQtPWkTz%2Baqddudfd%2F5K1bB0N6%2FxPBbvg0gbuQS4nDvEZyxT4uX5W%2F%2B69EpWcxLYdhhlLPzO7%2BS%2B4JQMCjNOfjPA2lMvpps7aWrpS9EEg0DRm6zMV5oUCWuCnYGOJyS8dfG4am%2F4KpKl80bZCuukFw%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Dave Gahan Signed Violator Vinyl Album PSA/DNA COA Autograph Depeche Mode ;DEPECHE MODE;Dave Gahan Signed Violator Vinyl Album PSA/DNA COA Autograph Depeche Mode . Международная сертификация подлинности: PSA/DNA.;400000;RUB;PSA/DNA;DEPECHE MODE;;https://i.ebayimg.com/images/g/Be8AAeSwvZZqHiQn/s-l1600.jpg;749.99;https://www.ebay.com/itm/358627392626?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xDpU6LdyAmOmmwraGDLziB7h8WfK2bWsTVf5r4wC8qI8O3X4%2BzWDtLFtsO87RXETacERujNK%2Btnq6gBeRF2BFArtNeHUC3tlNx%2F5qV5V3t4WSo6dQU8N25B3yNL%2FP5wUXCKwEfPth0ykcUiW2%2BXP1Gw6MfPWSoWedk3MTNGsAjwmqi9dpLFdM3z7jOSgyEknps%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
DAVE GAHAN SIGNED ENJOY THE SILENCE 8.5x11 AUTOGRAPH LYRIC SHEET BECKETT BW89759;DEPECHE MODE;DAVE GAHAN SIGNED ENJOY THE SILENCE 8.5x11 AUTOGRAPH LYRIC SHEET BECKETT BW89759. Международная сертификация подлинности: Beckett.;400000;RUB;Beckett;DEPECHE MODE;;https://i.ebayimg.com/images/g/NzMAAeSwl6Zp9aGn/s-l1600.jpg;749.99;https://www.ebay.com/itm/267656865544;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
