Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Лев Яшин — подписной лист с автографом;Единственный вратарь с «Золотым мячом»;Лев Иванович Яшин — единственный вратарь за всю историю футбола, получивший «Золотой мяч»: награда 1963 года до сих пор не повторена ни одним голкипером мира. Олимпийский чемпион 1956 года, победитель первого чемпионата Европы 1960 года, участник четырёх чемпионатов мира, он провёл всю карьеру в московском «Динамо» и вошёл в мировую традицию под именем «чёрный паук». Собственноручные автографы Яшина на рынке международных подписаний практически не появляются: подписной лист с экспертизой PSA — это документ руки человека, чьё имя носит вручаемая ФИФА награда лучшему вратарю чемпионата мира. Для российского музейного собрания предмет такого происхождения работает как опорный экспонат, вокруг которого выстраивается вся отечественная линия экспозиции. Международная сертификация подлинности: PSA.;700000;RUB;PSA;ЛЕГЕНДЫ МИРОВОГО ФУТБОЛА;;https://i.ebayimg.com/images/g/PZAAAeSwrndqWU~g/s-l1600.jpg;600.0;https://www.ebay.com/itm/287466707871;Лист снимать строго фронтально, при равномерном рассеянном свете, без бликов на бумаге — важно передать состояние листа и цвет чернил. Обязателен крупный план самой подписи во всю ширину кадра, плюс отдельный кадр ярлыка PSA. Экспозиционно предмет просится в паспарту и раму под музейным стеклом — стоит показать вариант оформления. Рядом — архивный кадр Яшина в прыжке в чёрном свитере, либо фотография с вручения «Золотого мяча» 1963 года.
Мишель Платини — футболка сборной Франции №10 с автографом;Три «Золотых мяча» подряд, номер десять;"Мишель Платини — обладатель трёх «Золотых мячей» подряд, в 1983, 1984 и 1985 годах; такой серии в истории награды больше не было ни у кого. В 1984 году он привёл сборную Франции к первому в её истории титулу чемпиона Европы, забив на том турнире девять мячей — рекорд одного европейского первенства, не побитый до сих пор. С «Ювентусом» он выиграл Кубок европейских чемпионов 1985 года, чемпионат Италии и трижды подряд становился лучшим бомбардиром Серии А. Домашняя футболка сборной Франции с десятым номером — это ровно тот образ, в котором Платини вошёл в историю, и подписанных экземпляров с международной экспертизой на рынке единицы. Международная сертификация подлинности: Beckett (BAS).";470000;RUB;Beckett/BAS;ЛЕГЕНДЫ МИРОВОГО ФУТБОЛА;;https://i.ebayimg.com/images/g/3YkAAeSw211qRXY1/s-l500.webp;850;https://www.ebay.com/itm/800273970666;Фронтальный кадр футболки с читаемым номером 10 и петухом на груди. Крупный план автографа — важно показать, что подпись легла на светлое поле и хорошо контрастирует. Отдельно — карточка COA Beckett. Архивным сопровождением лучше всего работает кадр Платини с трофеем чемпионата Европы 1984 года на «Парк де Пренс».
Пеле и Гордон Бэнкс — фотография «величайшего сейва» с двумя автографами;Оба участника легендарного момента ЧМ-1970;7 июня 1970 года в Гвадалахаре, в матче Бразилия — Англия, Пеле пробил головой в дальний нижний угол и уже кричал «гол», когда Гордон Бэнкс в невероятном броске выбил мяч из-под перекладины — этот момент вошёл в историю под именем «величайший сейв всех времён». На одном отпечатке собраны автографы обоих участников эпизода: трёхкратного чемпиона мира Пеле и Гордона Бэнкса, чемпиона мира 1966 года, шесть раз признанного лучшим вратарём мира по версии ФИФА. Двойные подписания такого уровня почти не встречаются — оба футболиста ушли из жизни, Бэнкс в 2019 году, Пеле в 2022-м, и повторить этот предмет уже невозможно. Ценность здесь не в двух именах по отдельности, а в том, что фотография документирует конкретную секунду игры, подтверждённую руками обоих её участников. Международная сертификация подлинности: JSA.;450000;RUB;JSA;ЛЕГЕНДЫ МИРОВОГО ФУТБОЛА;;https://i.ebayimg.com/images/g/IKEAAeSw3-Fo0gNk/s-l1600.jpg;499.99;https://www.ebay.com/itm/354068813020;Главный кадр — фотография целиком, чтобы сюжет сейва читался с первого взгляда. Затем два отдельных макрокадра: подпись Пеле и подпись Бэнкса, каждая крупно и по отдельности. Третьим — ярлык JSA с номером VV85922. Рядом обязательно показать архивную серию кадров того же момента ЧМ-1970 или знаменитый снимок обмена футболками Пеле и Бобби Мура после матча.
Кафу — 3D-реплика Кубка Лиги чемпионов 2007 с автографом;Официальная реплика трофея, подписанная победителем;Официальная объёмная реплика Кубка европейских чемпионов УЕФА, выпущенная по лицензии и подписанная Кафу — футболистом, выигравшим этот трофей с «Миланом» в 2007 году. Кафу остаётся единственным, кто сыграл в трёх финалах чемпионата мира, дважды становился чемпионом мира и поднимал Кубок мира как капитан сборной Бразилии в 2002 году. Предмет представляет собой уменьшенную реплику трофея, а не игровой или наградной оригинал — и именно в этом качестве он экспонируется. Для витрины это выигрышный формат: объёмный предмет с узнаваемым силуэтом читается через стекло лучше, чем текстиль или фотография. Международная сертификация подлинности: Icons.;400000;RUB;Icons;ЛЕГЕНДЫ МИРОВОГО ФУТБОЛА;;https://i.ebayimg.com/images/g/m8IAAeSweUpqBuXF/s-l225.jpg;799.49;https://www.ebay.com/itm/366405834333?_skw=football&hash=item554f7d565d:g:m8IAAeSweUpqBuXF;Снимать на тёмном фоне с контровым светом — так силуэт кубка читается сразу. Три ракурса по кругу плюс кадр с подставкой целиком. Обязателен макрокадр автографа на корпусе. Подпись к кадру должна прямо указывать: официальная 3D-реплика кубка УЕФА. Рядом — архивный кадр Кафу и «Милана» с настоящим трофеем в Афинах, 23 мая 2007 года.
Андреа Пирло — 3D-реплика Кубка Лиги чемпионов 2007 на подставке с автографом;Реплика трофея от чемпиона мира 2006;"Официальная объёмная реплика Кубка европейских чемпионов УЕФА на подставке с автографом Андреа Пирло — полузащитника, дважды выигравшего этот турнир с «Миланом», в 2003 и 2007 годах. В 2006 году Пирло стал чемпионом мира со сборной Италии и был признан одним из лучших игроков того турнира; его манера вести игру из глубины поля переопределила роль опорного полузащитника в европейском футболе. Предмет является уменьшенной лицензированной репликой трофея, а не оригиналом награды, и представляется именно в этом качестве. Комплектная подставка позволяет ставить его в витрину без дополнительного экспозиционного оборудования. Международная сертификация подлинности: Icons.";400000;RUB;Icons;ЛЕГЕНДЫ МИРОВОГО ФУТБОЛА;;https://i.ebayimg.com/images/g/68sAAeSwr9dqBuTV/s-l225.jpg;799.49;https://www.ebay.com/itm/366405834330?_skw=football&hash=item554f7d565a:g:68sAAeSwr9dqBuTV;Тёмный фон, контровый свет, три ракурса по кругу. Обязательно общий кадр вместе с подставкой — она часть предмета. Макрокадр автографа на корпусе реплики. В подписи к кадру явно указать: официальная 3D-реплика кубка УЕФА. Архивным сопровождением — Пирло с трофеем Лиги чемпионов 2007 года либо кадр финала чемпионата мира 2006 года в Берлине.
Пеле — фотография сборной Бразилии 16×20 с автографом;Жёлтая десятка, крупный формат;Пеле — единственный трёхкратный чемпион мира, выигравший турнир в 1958, 1962 и 1970 годах, и автор более тысячи голов за карьеру. Жёлтая футболка сборной Бразилии с десятым номером стала благодаря ему универсальным символом игры, вышедшим далеко за пределы спорта. Крупноформатный отпечаток 16×20 дюймов позволяет экспонировать предмет как самостоятельную работу, а размер поля даёт автографу пространство и делает подпись читаемой с дистанции зала. После ухода Пеле в декабре 2022 года круг подтверждённых подписаний закрыт, и предметы с международной экспертизой постепенно переходят из обращения в собрания. Международная сертификация подлинности: JSA.;300000;RUB;JSA;ЛЕГЕНДЫ МИРОВОГО ФУТБОЛА;;https://i.ebayimg.com/images/g/KGoAAOSwL6Bl4mE0/s-l1600.jpg;319.99;https://www.ebay.com/itm/116087492019;Кадр отпечатка целиком с честным указанием формата 16×20, лучше в раме или с предметом-масштабом. Крупный план автографа под небольшим углом — на глянце подпись даёт характерный блеск. Отдельно — ярлык JSA. Рядом уместен архивный кадр Пеле на чемпионате мира 1970 года в Мексике, в идеале момент празднования гола в финале с Италией.
Дино Дзофф — коллекционная карточка с автографом (сборная Италии);Карточка с автографом Дино Дзоффа, оценка PSA 10;Дино Дзофф — вратарь и капитан сборной Италии, выигравшей чемпионат мира 1982 года, когда ему было 40 лет: он остаётся самым возрастным чемпионом мира в истории футбола. Представленная карточка серии Topps UEFA Champions Collection с автографом Дзоффа заключена в защитную капсулу и оценена по шкале PSA на максимальный балл 10 (Gem Mint) — как за физическое состояние карточки, так и за качество автографа. Международная сертификация подлинности: PSA 10.;300000;RUB;PSA 10;ВРАТАРИ;;https://i.ebayimg.com/images/g/CdAAAeSwY9xo~945/s-l500.webp;583.82;https://www.ebay.com/itm/127456146465;Общий план карточки в слабе PSA целиком, крупный план автографа и оценочной наклейки PSA 10, рядом — архивный кадр Дзоффа с Кубком мира 1982 года.
Мануэль Нойер — мяч «Баварии» с автографом;Чемпион мира, вратарь нового типа;Мануэль Нойер — чемпион мира 2014 года и обладатель «Золотой перчатки» того турнира, вратарь, чья манера действовать далеко за пределами штрафной изменила само понимание позиции и породила термин «вратарь-либеро». С «Баварией» он выиграл Лигу чемпионов дважды, в 2013 и 2020 годах, а также рекордную серию чемпионств Бундеслиги. Пять раз он признавался лучшим вратарём мира по версии IFFHS — показатель, сопоставимый только с достижениями Джанлуиджи Буффона. Подписанный мяч удобен для витрины: он читается объёмно с любой точки и не требует раскладки на плоскости. Международная сертификация подлинности: JSA.;300000;RUB;JSA;ВРАТАРИ;;https://i.ebayimg.com/images/g/Z1cAAeSwAnponmZ6/s-l1600.jpg;799.99;https://www.ebay.com/itm/277326266716;Мяч снимать на подставке, тремя ракурсами по кругу, с ровным светом без жёстких бликов на панелях. Основной кадр — автограф по центру композиции, плюс отдельный макро. Показать наклейку JSA и подставку, если она входит в комплект. Архивный кадр рядом: Нойер на выходе далеко от ворот в матче ЧМ-2014 или с Кубком мира в Рио.
Дино Дзофф — ретро-футболка «Ювентуса» с автографом;Ретро-футболка «Ювентуса» с автографом Дино Дзоффа;Дино Дзофф — вратарь и капитан сборной Италии, выигравшей чемпионат мира 1982 года, когда ему было 40 лет: он остаётся самым возрастным чемпионом мира за всю историю футбола. В «Ювентусе» он провёл более десяти сезонов, неоднократно становясь чемпионом Италии в составе туринского клуба. Представленная ретро-футболка «Ювентуса» подписана лично Дзоффом, подписание зафиксировано фотографией. Международная сертификация подлинности: Icons.;330000;RUB;Icons;ВРАТАРИ;;https://i.ebayimg.com/images/g/1SYAAeSwFbNqBN3K/s-l225.jpg;234.99;https://www.ebay.com/itm/366406994200?_skw=shirt&hash=item554f8f0918:g:1SYAAeSwFbNqBN3K;ДЛЯ ПРЕЗЕНТАЦИИ: использовать ВТОРУЮ фотографию. Общий план футболки с автографом, крупный план подписи, рядом — архивный кадр Дзоффа в форме «Ювентуса» или с Кубком мира 1982 года.
Икер Касильяс — футболка «Реала Мадрид» с автографом;Футболка «Реала Мадрид» с автографом Икера Касильяса;Икер Касильяс — легенда «Реала Мадрид», где провёл более двадцати лет, был капитаном команды и трижды побеждал в Лиге чемпионов. В составе сборной Испании он стал чемпионом мира 2010 года и дважды выиграл чемпионат Европы, войдя в число самых титулованных вратарей в истории футбола. Представленная футболка «Реала» подписана лично Касильясом в присутствии свидетеля. Международная сертификация подлинности: Beckett Witnessed.;250000;RUB;Beckett Witnessed;ВРАТАРИ;;https://i.ebayimg.com/images/g/MbcAAeSw2~5qU87k/s-l500.webp;221.07;https://www.ebay.com/itm/206410721895;Общий план футболки с автографом, крупный план подписи, рядом — архивный кадр Касильяса в форме «Реала».
Икер Касильяс — футболка сборной Испании с автографом;Футболка сборной Испании с автографом Икера Касильяса;Икер Касильяс — капитан сборной Испании, с которой он выиграл чемпионат мира 2010 года и дважды становился чемпионом Европы (2008, 2012), пройдя с командой самый успешный период в истории испанского футбола. Многолетний капитан «Реала Мадрид», он считается одним из сильнейших вратарей своего поколения. Представленная футболка сборной Испании подписана лично Касильясом в присутствии свидетеля. Международная сертификация подлинности: Beckett Witnessed.;250000;RUB;Beckett Witnessed;ВРАТАРИ;;https://i.ebayimg.com/images/g/g5QAAeSwTg5qT4d9/s-l500.webp;221.07;https://www.ebay.com/itm/206404960800;Общий план футболки сборной Испании, крупный план автографа, рядом — архивный кадр Касильяса с национальной командой.
Оливер Кан — вратарская футболка сборной Германии с автографом;Вратарская футболка сборной Германии с автографом Оливера Кана;Оливер Кан — легендарный вратарь «Баварии» и сборной Германии, единственный голкипер в истории, признанный лучшим игроком чемпионата мира — на турнире 2002 года, где он привёл сборную Германии к финалу. За карьеру в «Баварии» он восемь раз становился чемпионом страны и побеждал в Лиге чемпионов. Представленная юбилейная вратарская футболка сборной Германии подписана лично Каном. Международная сертификация подлинности: Icons.;250000;RUB;Icons;ВРАТАРИ;;https://i.ebayimg.com/images/g/VloAAeSw9yVp73YO/s-l500.webp;599;https://www.ebay.com/itm/236795960142;Общий план вратарской футболки с автографом, крупный план подписи, рядом — архивный кадр Кана в форме сборной Германии.
Петер Шмейхель — фотография «Манчестер Юнайтед» 16×20 с автографом;Капитан «Юнайтед» сезона требла;Петер Шмейхель был вратарём и капитаном «Манчестер Юнайтед» в сезоне 1998/99, когда клуб впервые в истории английского футбола взял требл — чемпионат, Кубок Англии и Лигу чемпионов. За восемь лет в клубе он выиграл пять чемпионских титулов Премьер-лиги, а со сборной Дании стал сенсационным чемпионом Европы 1992 года. В 1992 и 1993 годах его признавали лучшим вратарём мира — фигура, определившая представление о голкипере современного типа. Крупноформатный отпечаток 16×20 дюймов позволяет экспонировать предмет как самостоятельную работу, а не как вложение в витрину. Международная сертификация подлинности: Beckett (BAS).;240000;RUB;Beckett;ВРАТАРИ;;https://i.ebayimg.com/images/g/X-QAAOSw4F9kjYu8/s-l1600.jpg;311.89;https://www.ebay.com/itm/285335658486;Показать формат честно — кадр отпечатка с указанием размера 16×20, лучше с предметом-масштабом или в раме. Крупный план автографа, желательно под углом, чтобы читался блеск маркера на глянце. Отдельно — ярлык Beckett. Архивный кадр рядом: Шмейхель с трофеем Лиги чемпионов в Барселоне, май 1999 года.
Оливер Кан — вратарская перчатка Adidas с автографом;Вратарская перчатка Adidas с автографом Оливера Кана;Оливер Кан — единственный вратарь в истории футбола, признанный лучшим игроком чемпионата мира: этого звания он удостоился на турнире 2002 года. Многолетний капитан «Баварии», прозванный «Титаном» за бескомпромиссный характер игры, он восемь раз выигрывал чемпионат Германии. Вратарская перчатка — редчайший для коллекций предмет: единственный элемент экипировки, которым вратарь непосредственно играет руками, а значит, самый личный из всех предметов его формы. Представленная перчатка Adidas подписана Каном на официальной сессии автографов Icons, что подтверждено фотофиксацией процесса подписания. Международная сертификация подлинности: Icons.;180000;RUB;Icons;ВРАТАРИ;;https://i.ebayimg.com/images/g/HDYAAeSwzRxqBuWE/s-l225.jpg;199.86;https://www.ebay.com/itm/366405834312?_skw=glove&hash=item554f7d5648:g:HDYAAeSwzRxqBuWE;Крупный план перчатки с автографом на тыльной стороне ладони, общий план перчатки целиком, рядом — архивный кадр сессии подписания либо кадр Кана в перчатках на поле.
