"Артикул (SKU)";"ID товара";"Внутренний UID";Название;"Краткое описание";"Полное описание";Цена;Валюта;"В наличии";Количество;"Категория (основная)";"Все категории (через ;)";Галерея;Метка;Сертификат;"Главное фото";"Все фото (через |)";"Кол-во фото";"Длина (мм)";"Ширина (мм)";"Высота (мм)";"Вес (г)";"Это вариант";"Артикул родителя";"URL на сайте";"URL главного фото"
699502216861;699502216861;nSvaEr6ZSYmS9Mm7pZEB;"Хлоропласт (Chloroplast)";"Стул,Тарас Желтышев,Арт-вселенная Yoomoota";"СтулДерево, металл, войлок, ППУ; 70х70х72 смТираж — 2 шт.Этот стул с говорящим названием вдохновлен формой хлоропластов — главных элементов растений, благодаря которым происходит фотосинтез. Биоморфное изделие из дерева и премиального войлока ручной обработки сочетает эстетику и функциональность, а его дизайн воплощает красоту живых организмов.Один из основных материалов стула — войлок, изготовленный вручную из высококачественной итальянской шерсти.Тарас Желтышев — один из самых аутентичных художников России. Он создает скульптуры, картины, коллекционные предметы и мебель. Тарас — многократный участник международных выставок и обладатель главных призов различных дизайнерских премий. В рамках проекта Yoomoota художник исследует уникальную альтернативную вселенную. Ее объекты отражают фантастический внутренний мир человечества, воплощающий в себе все явления нашей жизни.Выставки: групповая выставка совместно с галереей «Триумф» 2025 (Пхукет); Zurich Art Weekend 2025 (Цюрих); Define: Seoul 2024 (Сеул); Cosmoscow 2024 (Москва); Frédérick Mouraux Gallery 2024 (Антверпен); Collectible Fair 2024 (Брюссель).";300000;RUB;true;1;"Все RU";"Все RU;Yoomoota;Вещи;Мужчине;Yoomoota>>>Paradise;Yoomoota>>>Мебель";Гименей;;;https://stargift.ru/media/e67fecf6670a57f325fabb38628b5337.jpg;https://stargift.ru/media/e67fecf6670a57f325fabb38628b5337.jpg|https://stargift.ru/media/abc64118ca6b2fd6618e83af43c81b8b.jpg|https://stargift.ru/media/11b5afe2f2f63afda0ec187dee431e62.jpg|https://stargift.ru/media/bea0d98ee59cf0900a818271666b2373.jpg|https://stargift.ru/media/3ca07b9ae753269e1a647d1ddbf59a31.jpg|https://stargift.ru/media/dada8da9c6f7db4dbc2aa54722fdeb5d.jpg;6;;;;;false;;https://stargift.ru/product/699502216861-khloroplast-chloroplast;https://stargift.ru/media/e67fecf6670a57f325fabb38628b5337.jpg
776582713722;776582713722;d40YjHLEI9y2r0918UkB;"Джонни Депп";"Фото с автографом";"Фото с автографомДжонни Депп — американский актёр, кинорежиссёр, музыкант, сценарист и продюсер. Наибольшую известность Джонни принесли роли в фильмах Тима Бёртона, в таких известных картинах, как «Эдвард Руки-ножницы», «Сонная Лощина», «Чарли и шоколадная фабрика», «Эд Вуд», «Суини Тодд, демон-парикмахер с Флит-стрит» и «Алиса в Стране чудес», мультфильм «Труп невесты», а также образ капитана Джека Воробья в серии фильмов «Пираты Карибского моря».Джонни Депп – не только талантливый актер, но и одаренный музыкант. Он является участником рок-группы Hollywood Vampires, в которой также играют Элис Купер и Джо Перри из Aerosmith.Автограф Джонни Деппа на фотографии станет ярким акцентом в интерьере гостиной, кабинета или комнаты подростка, отражая бунтарский дух и любовь к киноискусству.";210000;RUB;true;1;Мужчине;"Мужчине;Все RU;Актеры;Кино;Новый год";"Времена года";;;https://stargift.ru/media/826ccac9f25d107dcb25fec028f13958.png;https://stargift.ru/media/826ccac9f25d107dcb25fec028f13958.png|https://stargift.ru/media/26233b8b9a555415c7b943d445617d7e.jpg|https://stargift.ru/media/642cda826a638c5f8459eb919200effb.jpg;3;278;1;354;;false;;https://stargift.ru/product/776582713722-dzhonni-depp;https://stargift.ru/media/826ccac9f25d107dcb25fec028f13958.png
343366039601;343366039601;gME0Z5XF7sVsohBJB7j9;"Пластырь (Patch)";"Журнальный столик,Тарас Желтышев,Арт-вселенная Yoomoota";"Журнальный столикПлексиглас, акрил; 50х80х45 смТираж — 2 шт.Минималистичный дизайн этого журнального столика вдохновлен функцией медицинского пластыря. Благодаря лаконичной форме и нейтральному цвету Пластырь (Patch) является универсальным предметом для любого интерьера и метафорически исцеляет пространство. Работа воплощает прочность, способность адаптироваться и находить новое применение в стремительно меняющемся мире.Тарас Желтышев — один из самых аутентичных художников России. Он создает скульптуры, картины, коллекционные предметы и мебель. Тарас — многократный участник международных выставок и обладатель главных призов различных дизайнерских премий. В рамках проекта Yoomoota художник исследует уникальную альтернативную вселенную. Ее объекты отражают фантастический внутренний мир человечества, воплощающий в себе все явления нашей жизни.Выставки: PAD Paris 2026 (Париж); групповая выставка совместно с галереей «Триумф» 2025 (Пхукет); PAD London 2025 (Лондон); Cosmoscow 2025 (Москва); Zurich Art Weekend 2025 (Цюрих); PAD Paris 2025 (Париж); Cosmoscow 2024 (Москва); PAD London 2024 (Лондон).";250000;RUB;true;1;"Все RU";"Все RU;Yoomoota;Вещи;Ребенку;Мужчине;Yoomoota>>>Wantland;Yoomoota>>>Мебель";Гименей;;;https://stargift.ru/media/f295c430d6b52f6034d7a98759ad57c2.jpg;https://stargift.ru/media/f295c430d6b52f6034d7a98759ad57c2.jpg|https://stargift.ru/media/6b6a09dc12f9fb274bd8f6a34ea8cf0f.jpg|https://stargift.ru/media/bf80e419f27ff4dc4787e8b3b55f6c84.jpg|https://stargift.ru/media/786ce4a92fa7a5e843260c46e84fbfb9.jpg|https://stargift.ru/media/386f936f720acf50761f6329a0cb7338.jpg|https://stargift.ru/media/fd845749af007bbd99fd73f0c004e4f3.jpg|https://stargift.ru/media/5878b9df74fd535300b6649c2c745087.jpg;7;;;;;false;;https://stargift.ru/product/343366039601-plastyr-patch;https://stargift.ru/media/f295c430d6b52f6034d7a98759ad57c2.jpg
935879045351;935879045351;kjXsN8m2DnBR57aJLivM;"ФК «Спартак»";"Футболка с автографами основного состава";"Футболка с автографамиПодписана основным составом ФК «Спартак» сезона 2023/2024.ФК «Спартак» — российский профессиональный футбольный клуб из Москвы, основанный 18 апреля 1922 года. Один из самых популярных футбольных клубов страны и самый титулованный в России: 12-кратный чемпион СССР, 10-кратный чемпион России, 10-кратный обладатель Кубка СССР, 3-кратный обладатель Кубка России, обладатель Суперкубка России и полуфиналист трёх главных клубных европейских турниров. Официальным днём рождения «Спартака» считается 19 апреля 1935 года, когда был принят флаг, герб и устав спортивного общества «Спартак».Футболка станет стильным акцентом в интерьере спортивного фаната, прекрасно вписываясь в домашний офис или фан-зону.";180000;RUB;true;1;"Все RU";"Все RU;Футбол;Вещи;Спорт;Россия (общий);Новый год;Спартак;Ребенку;Мужчине;23 февраля;14 февраля;Основные экспонаты;Москва;День Москвы";;Новинка;;https://stargift.ru/media/fk_spartak_1780834108.webp;https://stargift.ru/media/fk_spartak_1780834108.webp|https://stargift.ru/media/5af65b3bd59d7c4dd2f0e827bf3efa0e.jpg;2;620;60;930;;false;;https://stargift.ru/product/935879045351-fk-spartak;https://stargift.ru/media/fk_spartak_1780834108.webp
482228921242;482228921242;7cOYz117C93IJBMefU6Y;"Том Хэнкс";"Фото с автографом";"Фото из к/ф «Форрест Гамп» с автографомТом Хэнкс — американский актёр, сценарист, писатель. Том Хэнкс два года подряд получал «Оскар». Первый раз за роль в фильме «Филадельфия», а второй — за главную роль в фильме «Форрест Гамп».Интересно, что Том Хэнкс не получил гонорар за роль Форреста Гампа. Вместо этого он заключил сделку, согласно которой ему полагался процент от кассовых сборов. В итоге, благодаря успеху фильма, Хэнкс заработал около 40 миллионов долларов.Фотография с автографом Тома Хэнкса, запечатлевшая момент из культового фильма, станет прекрасным украшением гостиной, кабинета или комнаты отдыха, напоминая о вечных ценностях и простых радостях жизни.Международная сертификация подлинности — Beckett BJ62289";210000;RUB;true;1;"Все RU";"Все RU;Женщине;Мужчине;Кино;Актеры";"Времена года";Новинка;;https://stargift.ru/media/tom_khenks_1782916100.webp;https://stargift.ru/media/tom_khenks_1782916100.webp|https://stargift.ru/media/tom_khenks_1782916103.webp;2;355;1;280;;false;;https://stargift.ru/product/482228921242-tom-khenks;https://stargift.ru/media/tom_khenks_1782916100.webp
554856457951;554856457951;jB1ZVfr96iAxeTMEXOmP;"Кубический человек (Cube dude)";"Скульптура, 70 см,Тарас Желтышев,Арт-вселенная Yoomoota";"СкульптураПластик, акрил; 70 смТираж — 10 шт.Скульптура Кубический человек (Cube dude) воплощает человеческую погоню за идеалом, которая в конечном итоге приводит к тупику. Образ представляет вершину эволюции в форме «человека конечного» — геометрически точного, но одновременно искусственного и ограниченного. Работа подчеркивает, что настоящая красота заключается в несовершенстве, подлинных чертах и эмоциях, которые невозможно измерить мнимыми стандартами.Тарас Желтышев — один из самых аутентичных художников России. Он создает скульптуры, картины, коллекционные предметы и мебель. Тарас — многократный участник международных выставок и обладатель главных призов различных дизайнерских премий. В рамках проекта Yoomoota художник исследует уникальную альтернативную вселенную. Ее объекты отражают фантастический внутренний мир человечества, воплощающий в себе все явления нашей жизни.Выставки: Cosmoscow 2025 (Москва); Cosmoscow 2024 (Москва), Выставка «Super Toys», Art Square Gallery 2024 (Санкт-Петербург); Cosmoscow 2023 (Москва).";600000;RUB;true;1;"Все RU";"Все RU;Yoomoota;Вещи;Мужчине;Новый год;Yoomoota>>>Square Cubed;Yoomoota>>>Скульптуры";;;;https://stargift.ru/media/09ca1ba3c62df181ba6a6d99de7ab511.jpg;https://stargift.ru/media/09ca1ba3c62df181ba6a6d99de7ab511.jpg|https://stargift.ru/media/0c04d7a37c2edebc3d7216716c9d54e7.jpg|https://stargift.ru/media/38907f74fb3db6c2c04ce6825081dddd.webp|https://stargift.ru/media/d9cb3d16d7569fecbd2495a0f4c47110.jpg;4;;;;;false;;https://stargift.ru/product/554856457951-kubicheskiy-chelovek-cube-dude;https://stargift.ru/media/09ca1ba3c62df181ba6a6d99de7ab511.jpg
304350296901;304350296901;ml6Rsao1Ltuia0luL7xI;"Юэн Макгрегор";"Фото с автографом";"Фото с автографомЮэн Макгрегор — шотландский актёр, лауреат премии «Эмми», «Золотой глобус», двукратный лауреат премии BAFTA. Актёр снимается как в независимом кино, так и в высокобюджетных голливудских проектах. Артист любит свободу, поэтому постоянно экспериментирует, чем приводит своих поклонников в настоящий восторг.Повсеместная известность пришла к актёру в 1996 году, после того как он снялся у Дэнни Бойла в экранизации культового романа современного шотландского писателя Ирвина Уэлша. Это была криминальная драма с элементами чёрной комедии «На игле», где Макгрегор сыграл одного из ключевых героев по имени Рентон (чтобы соответствовать образу, ему пришлось сильно похудеть).В 1999 году актера настиг очередной громкий успех после роли джедая Оби-Ван Кеноби в картине «Звездные войны. Эпизод I: Скрытая угроза», а еще через два года Макгрегор вместе с известной актрисой Николь Кидман снялся в знаменитой экранизации мюзикла «Мулен Руж».";130000;RUB;true;1;Кино;"Кино;Мужчине;Все RU;Актеры";"Времена года";;;https://stargift.ru/media/64a37fef490828add905857129f339c1.jpeg;https://stargift.ru/media/64a37fef490828add905857129f339c1.jpeg|https://stargift.ru/media/a7699568dafc73802d8cb37c0c32258e.jpeg;2;85;1;138;;false;;https://stargift.ru/product/304350296901-yuen-makgregor;https://stargift.ru/media/64a37fef490828add905857129f339c1.jpeg
157981427252;157981427252;yBoPT3zoUigyNUl3ceVJ;"Майк Тайсон";"Перчатка с автографом";"Перчатка с автографомМайк Тайсон — один из самых известных спортсменов в истории, абсолютный чемпион мира в тяжёлой весовой категории, обладатель многих мировых рекордов, которые по сей день никем не побиты. Включён в Международный зал боксёрской славы, во Всемирный зал боксёрской славы, в Зал Славы WWE. Внесён в Книгу Рекордов Гиннесса за наибольшее количество самых быстрых нокаутов и за то, что стал самым молодым чемпионом мира в тяжёлом весе.26 июля 1986 года в городе Гленс Форс (штат Нью-Йорк) состоялся двадцать пятый бой в карьере Майка Тайсона. Его соперником стал сын легендарного боксера Джо Фрейзера – Марвис, который до боя с Майком из 17 проведенных боев одержал 16 побед. Это была 15 победа Тайсона нокаутом в первом раунде и самая быстрая в его карьере – официальное время боя составило всего 30 секунд.Размещённая в витрине или под стеклом, боксёрская перчатка с автографом становится центральным экспонатом коллекции — осязаемое свидетельство эпохи, когда ринг принадлежал одному человеку.Международная сертификация подлинности — Beckett";190000;RUB;true;1;Спорт;"Спорт;Руководителю;Мужчине;Ребенку;Бокс и ММА;23 февраля;Новый год;Все RU";"Гименей, Времена года";Новинка;;https://stargift.ru/media/mayk_tayson_1782666168.webp;https://stargift.ru/media/mayk_tayson_1782666168.webp|https://stargift.ru/media/mayk_tayson_1782666172.webp;2;340;220;150;;false;;https://stargift.ru/product/157981427252-mayk-tayson;https://stargift.ru/media/mayk_tayson_1782666168.webp
626083929411;626083929411;rFgakt9SGNIKNe9FrmBd;"Игрушечное Любопытство (Curiosity toy)";"Скульптура,Тарас Желтышев,Арт-вселенная Yoomoota";"СкульптураПластик, акрил; 40 смТираж — 30 шт.Скульптура символизирует бесконечное стремление к изучению человеческой природы и организации знаний с помощью библиотек, хранилищ, сетей и предметов искусства. Центральный образ работы — Любопытство, ключевой персонаж Yoomoota, чья вечная миссия — собирать смысловые артефакты и коллекционировать впечатления. Путешествуя по бескрайним просторам арт-вселенной, оно собирает сведения о планетах, существах и событиях, навсегда их запоминая. Этот портативный носитель мировой памяти напоминает: познание — не просто задача, а смысл существования человека.Тарас Желтышев — один из самых аутентичных художников России. Он создает скульптуры, картины, коллекционные предметы и мебель. Тарас — многократный участник международных выставок и обладатель главных призов различных дизайнерских премий. В рамках проекта Yoomoota художник исследует уникальную альтернативную вселенную. Ее объекты отражают фантастический внутренний мир человечества, воплощающий в себе все явления нашей жизни.";350000;RUB;true;1;"Все RU";"Все RU;Yoomoota;Вещи;Мужчине;Ребенку;Yoomoota>>>Curiosity Station;Yoomoota>>>Скульптуры;Бизнес и индустрия";;;;https://stargift.ru/media/328c8dadebbc8d67ed38ac4d8faf445d.jpg;https://stargift.ru/media/328c8dadebbc8d67ed38ac4d8faf445d.jpg|https://stargift.ru/media/81747363dcb77ce74ea5a55cbd878dcf.jpg|https://stargift.ru/media/d671ec71ebc7cf997e6a05786056caaa.jpg|https://stargift.ru/media/99f83b3cae874819d72a1599fd0f2846.png|https://stargift.ru/media/79adf1b798ed68abeb97699b6aecd1c1.png|https://stargift.ru/media/9797b75e7504411764b114e1ed3c30d4.png|https://stargift.ru/media/df7a5f26a0a19005288599aac1c33c7e.jpg;7;;;;;false;;https://stargift.ru/product/626083929411-igrushechnoe-lyubopytstvo-curiosity-toy;https://stargift.ru/media/328c8dadebbc8d67ed38ac4d8faf445d.jpg
816793990891;816793990891;S26poGlIY20VJBiA1OOn;"Хабиб Нурмагомедов";"Футболка с автографом";"Футболка с автографомХабиб Нурмагомедов — российский боец смешанных боевых искусств, выступавший под эгидой UFC. Бывший чемпион UFC в лёгком весе. Рейтинг Sherdog ставит Нурмагомедова на первое место как в лёгком весе, так и в списке лучших бойцов вне зависимости от весовой категории.Хабиб Нурмагомедов в бою с американцем Джастином Гэтжи защитил титул чемпиона UFC в легком весе. После победы россиянин объявил о завершении карьеры.";130000;RUB;true;1;Спорт;"Спорт;Мужчине;Вещи;Все RU;Бокс и ММА;Новый год";Гименей;;;https://stargift.ru/media/7de3b0ec4dce67a10d47e53e5e2d93cd.jpg;https://stargift.ru/media/7de3b0ec4dce67a10d47e53e5e2d93cd.jpg|https://stargift.ru/media/59b8d34c46376e32406c8458ef4f0cb9.jpg;2;850;50;905;;false;;https://stargift.ru/product/816793990891-khabib-nurmagomedov;https://stargift.ru/media/7de3b0ec4dce67a10d47e53e5e2d93cd.jpg
440416377171;440416377171;ykEAmpMYBX05612JXrds;"Квентин Тарантино и Ума Турман";"Фото с 2-мя автографами";"Квентин Тарантино — американский кинорежиссёр и сценарист, известный своим неповторимым стилем и влиянием на современный кинематограф.Ума Турман — талантливая актриса, чья карьера началась в артистической семье, что и определило её путь в искусстве. Её имя, вдохновлённое индийской мифологией, символизирует дар блаженства.Тандем Тарантино и Турман стал знаковым с момента их первой совместной работы в «Криминальном чтиве» в 1995 году. Режиссёр неоднократно подчеркивал свою преданность актрисе, утверждая, что она для него как Марлен Дитрих для других.Эта фотография станет изысканным дополнением к любому интерьеру, а также выразительным акцентом в интерьере, посвящённом киноискусству.";430000;RUB;true;1;Кино;"Кино;Мужчине;Женщине;Актрисы;Режиссеры;Все RU;14 февраля;Свадьба;Новый год;Основные экспонаты";"Времена года";;;https://stargift.ru/media/dfec0c1b5cc959b78c3e0faa18d87d01.jpg;https://stargift.ru/media/dfec0c1b5cc959b78c3e0faa18d87d01.jpg|https://stargift.ru/media/1225280ef64f1be55b2d7f951f12d674.jpg|https://stargift.ru/media/de12ddaef72c993bc43d87828508673a.jpg|https://stargift.ru/media/cd8529906a89608a848f4811a3ed13b6.jpg;4;555;20;374;;false;;https://stargift.ru/product/440416377171-kventin-tarantino-i-uma-turman;https://stargift.ru/media/dfec0c1b5cc959b78c3e0faa18d87d01.jpg
203672783211;203672783211;4GoPI1TL2p8s4CCjISBb;"Красный Страх (Red Fear)";"Скульптура, 50 см,Тарас Желтышев,Арт-вселенная Yoomoota";"СкульптураПластик, акрил; 50 смТираж — 1 шт.Скульптура символизирует оберег, который защищает от всего неизведанного. Персонаж Красный Страх (Red Fear) — одновременно источник человеческих страхов и главное средство борьбы с ними. Его ярко-красный цвет и зловещие гримасы предупреждают об опасности, вместе с тем создавая пространство, где нет места нерешительности.Тарас Желтышев — один из самых аутентичных художников России. Он создает скульптуры, картины, коллекционные предметы и мебель. Тарас — многократный участник международных выставок и обладатель главных призов различных дизайнерских премий. В рамках проекта Yoomoota художник исследует уникальную альтернативную вселенную. Ее объекты отражают фантастический внутренний мир человечества, воплощающий в себе все явления нашей жизни.Выставки: Solo Show, Icon Siam 2023 (Бангкок); Blazar 2020 (Москва).";600000;RUB;true;1;Yoomoota;"Yoomoota;Все RU;Вещи;Мужчине;Ребенку;Искусство;Новый год;Yoomoota>>>Emo;Yoomoota>>>Скульптуры";;;;https://stargift.ru/media/7459ec22f503b98c7fe498dec264d226.jpg;https://stargift.ru/media/7459ec22f503b98c7fe498dec264d226.jpg|https://stargift.ru/media/853de7e7dbe8138d5eb5836a0d257706.jpg|https://stargift.ru/media/adf039a1b34e19ef9fc32eca940f85ed.jpg|https://stargift.ru/media/b4ea298082e3e10f49d5611243b95cd7.jpg|https://stargift.ru/media/0ba8282a727083e42c551b461afe9d41.jpg|https://stargift.ru/media/a3910d53bddc5bb03c6ba3812d6a9433.jpg;6;;;;;false;;https://stargift.ru/product/203672783211-krasnyy-strakh-red-fear;https://stargift.ru/media/7459ec22f503b98c7fe498dec264d226.jpg
776547976592;776547976592;ZCBIx4kblli79yaaZt0P;"Человек-подушка (Lazy Wolly)";"Скульптура,Тарас Желтышев,Арт-вселенная Yoomoota";"СкульптураПластик, акрил; 170 смТираж — 1 шт.Скульптура Человек-подушка (Lazy Wolly) будто создана из мягких, уютных подушек и тёплых одеял. Персонаж напоминает о пространствах, где можно полностью расслабиться и никуда не спешить. Лень в таком случае — не порок, а способ восстановиться и отдохнуть перед новыми свершениями. Тарас Желтышев — один из самых аутентичных художников России. Он создает скульптуры, картины, коллекционные предметы и мебель. Тарас — многократный участник международных выставок и обладатель главных призов различных дизайнерских премий. В рамках проекта Yoomoota художник исследует уникальную альтернативную вселенную. Ее объекты отражают фантастический внутренний мир человечества, воплощающий в себе все явления нашей жизни.Выставки: Solo Show, Icon Siam 2023 (Бангкок).";2000000;RUB;true;1;Вещи;"Вещи;Все RU;Yoomoota;Дороже 1 млн.р.;Мужчине;Ребенку;Новый год;Yoomoota>>>Sins;Yoomoota>>>Скульптуры";;;;https://stargift.ru/media/a40e5fedee7245d7462ea3d41844a112.jpg;https://stargift.ru/media/a40e5fedee7245d7462ea3d41844a112.jpg|https://stargift.ru/media/b7a67004c24e7e80c79ebaa6f1544587.jpg;2;;;;;false;;https://stargift.ru/product/776547976592-chelovek-podushka-lazy-wolly;https://stargift.ru/media/a40e5fedee7245d7462ea3d41844a112.jpg
632858026481;632858026481;S13bRRzOi6lEfvRLfP3K;"Стивен Спилберг, Дрю Бэрримор, Томас Генри";"Фото с 3-мя автографами";"Фото с 3-мя автографамиКадр из к/ф «Инопланетянин»Стивен Спилберг — американский кинорежиссёр, продюсер и сценарист, лауреат многих премий.Дрю Бэрримор — американская актриса, кинорежиссёр и продюсер, представительница актёрской династии.Томас Генри — американский актёр, начавший сниматься в возрасте девяти лет.Экспонат является символом успешной коллаборации талантливых людей в кино, что делает его особенно ценным.Размещённое в интерьере, оно придаст индивидуальность любому пространству.";220000;RUB;true;1;Кино;"Кино;Мужчине;Женщине;Все RU;Режиссеры;Актеры;Актрисы";Гименей;;2093;https://stargift.ru/media/18993358502ea7707b23d29cb7730f94.jpg;https://stargift.ru/media/18993358502ea7707b23d29cb7730f94.jpg|https://stargift.ru/media/079145fed458753de56316bcb2c38430.jpg|https://stargift.ru/media/8c5d30fd42e2174c9f8688556375cba2.jpg|https://stargift.ru/media/338c8aab7c5f5a49cbeefe19d5039727.jpg;4;663;30;444;;false;;https://stargift.ru/product/632858026481-stiven-spilberg-dryu-berrimor-tomas-genri;https://stargift.ru/media/18993358502ea7707b23d29cb7730f94.jpg
164116785502;164116785502;3A4gHAxbEx2p3FT6GXzg;"Джеки Чан";"Фото с автографом";"Автографированное фото Джеки ЧанаДжеки Чан — выдающийся гонконгский актёр, каскадёр, кинорежиссёр и мастер боевых искусств. Это фото с его автографом является не только коллекционным предметом, но и символом его уникального стиля и подхода к киноискусству.Фирменная черта Джеки Чана — это неудачные сцены, которые часто показываются в конце его фильмов. Он стремился донести до зрителей, особенно молодежи, что трюки, которые выглядят легко, на самом деле требуют огромной подготовки и могут быть опасными. Это фото станет отличным дополнением к любому интерьеру и подчеркнёт вашу приверженность к культуре кино.Международная сертификация подлинности JSA — CD83350.";150000;RUB;true;1;Спорт;"Спорт;Кино;Ребенку;Мужчине;Руководителю;Новинки;Все RU;Другое Спорт;Актеры";Гименей;Новинка;8515;https://stargift.ru/media/e70f86fc19965de2c3b049ea788fb166.jpg;https://stargift.ru/media/e70f86fc19965de2c3b049ea788fb166.jpg|https://stargift.ru/media/a83044794c61ad7b776c1fe07fc11c59.jpg;2;395;20;470;;false;;https://stargift.ru/product/164116785502-dzheki-chan;https://stargift.ru/media/e70f86fc19965de2c3b049ea788fb166.jpg
368093902911;368093902911;pAen2kJ2CeazTG7ZKNtt;"Пустынный человек-пилюля (Desert pillman)";"Cкульптура, Тарас Желтышев,Арт-вселенная Yoomoota";"СкульптураПластик, акрил; 45 смТираж — 7 шт.Пустынный человек-пилюля — новая ипостась канонического персонажа Yoomoota, исследующего искусство выживания. В условиях экстремальной жары образ знаменитого ипохондрика трансформируется: теперь он кочевник, путешествующий на верблюде, а его многочисленные лекарства — ценный ресурс, дополняющий тысячелетние медицинские знания. Работа показывает, что человеческая адаптивность и изобретательность — основа жизни там, где она кажется невозможной.Тарас Желтышев — один из самых аутентичных художников России. Он создает скульптуры, картины, коллекционные предметы и мебель. Тарас — многократный участник международных выставок и обладатель главных призов различных дизайнерских премий. В рамках проекта Yoomoota художник исследует уникальную альтернативную вселенную. Ее объекты отражают фантастический внутренний мир человечества, воплощающий в себе все явления нашей жизни.";750000;RUB;true;1;Мужчине;"Мужчине;Все RU;Yoomoota;Вещи;Ребенку;Yoomoota>>>Wantland;Yoomoota>>>Скульптуры";;;;https://stargift.ru/media/11e4b3eadaea253d4157ee19b780cda5.jpg;https://stargift.ru/media/11e4b3eadaea253d4157ee19b780cda5.jpg|https://stargift.ru/media/c3068569cd7fb5de6ce834bafd3f7167.jpg|https://stargift.ru/media/31e82ee3c6b4fdcd6bd0f528e8c44eae.jpg|https://stargift.ru/media/d95708f7f5f42413132c3dd2dadb517d.jpg|https://stargift.ru/media/85b42be8e9d8976e8d88adfcd0008989.jpg;5;;;;;false;;https://stargift.ru/product/368093902911-pustynnyy-chelovek-pilyulya-desert-pillman;https://stargift.ru/media/11e4b3eadaea253d4157ee19b780cda5.jpg
658982881531;658982881531;PCTgcn3CE6npvdLX1Dr0;"Клинт Иствуд";"Фото с автографом";"Клинт Иствуд — выдающийся актер, режиссер и продюсер, чья карьера охватывает более шести десятилетий. Он стал значимой фигурой в истории кино благодаря своим ролям в вестернах и боевиках, особенно в фильмах Серджио Леоне и серии «Грязный Гарри», где он олицетворяет мужественность и харизму. Его режиссерская работа, включая «Непрощенный» и «Малышка на миллион», была отмечена признанием критиков и множеством наград.Фильм «Грязный Гарри», вышедший в 1971 году, стал культовым в жанре боевиков, где Иствуд воплотил образ жесткого инспектора полиции Гарри Каллахана, чьи методы борьбы с преступностью вызывают вопросы о морали и правосудии.В интерьере этот предмет станет изысканным дополнением для ценителей и ценителей киноискусства, подчеркивая статус владельца и его интерес к культуре.";210000;RUB;true;1;Кино;"Кино;Мужчине;Все RU;Актеры;Режиссеры";"Dream House, Времена года";;;https://stargift.ru/media/klint_istvud_0744427438_cfd4a8.webp;https://stargift.ru/media/klint_istvud_0744427438_cfd4a8.webp|https://stargift.ru/media/klint_istvud_0744479760_38e95b.webp;2;370;25;460;;false;;https://stargift.ru/product/658982881531-klint-istvud;https://stargift.ru/media/klint_istvud_0744427438_cfd4a8.webp
254226787621;254226787621;Xtn7zi1sRFDacBzHZYD3;"Асприм (Aspr1m)";"Скульптура,Тарас Желтышев,Арт-вселенная Yoomoota";"СкульптураПластик, акрил; 47 смТираж— 30 шт.Скульптура Асприм воплощает детскую любознательность, которая во взрослом возрасте трансформируется в жажду приключений. Персонаж — главный путешественник в арт-вселенной Yoomoota, который коллекционирует впечатления и символизирует погоню за знаниями. Его причудливая униформа лишь подчеркивает самоотверженность истинного исследователя, а восторженный взгляд передает любопытство, которое движет человеческим прогрессом.Тарас Желтышев — один из самых аутентичных художников России. Он создает скульптуры, картины, коллекционные предметы и мебель. Тарас — многократный участник международных выставок и обладатель главных призов различных дизайнерских премий. В рамках проекта Yoomoota художник исследует уникальную альтернативную вселенную. Ее объекты отражают фантастический внутренний мир человечества, воплощающий в себе все явления нашей жизни.Выставки: Frédérick Mouraux Gallery 2024 (Антверпен).";450000;RUB;true;1;"Все RU";"Все RU;Yoomoota;Вещи;Женщине;Мужчине;Ребенку;Yoomoota>>>Curiosity Station;Yoomoota>>>Скульптуры;Космос;День космонавтики;Бизнес и индустрия";;;;https://stargift.ru/media/765e0399bf1c4629fa41a10aa0317987.jpg;https://stargift.ru/media/765e0399bf1c4629fa41a10aa0317987.jpg|https://stargift.ru/media/ab8673ca57f26ce151420fd77bf18950.jpg|https://stargift.ru/media/d9b76aa9f7c4cecc7068480f091d9811.jpg|https://stargift.ru/media/763b4267e23268754e933641971299f1.jpg|https://stargift.ru/media/1384d696ecdb2af5e455b9bbc0cffbe8.jpg;5;;;;;false;;https://stargift.ru/product/254226787621-asprim-aspr1m;https://stargift.ru/media/765e0399bf1c4629fa41a10aa0317987.jpg
